feature id	COVID_minus_CAP	COVID_minus_HC	Mean_COVID_change	CAP_minus_HC
1.10.2.2	0.16	0.215	0.1875	0.055
1.1.1.1	0.33045	0.89975	0.6151	0.5693
1.1.1.100	0.0676	0.7595	0.41355	0.6919
1.11.1.15	1.5916	1.5605	1.57605	-0.0311
1.11.1.21	0.513	0.8835	0.69825	0.3705
1.11.1.6	0.5076	0.8295	0.66855	0.3219
1.1.1.169	-0.1326	-0.1005	-0.11655	0.0321
1.1.1.18	0.207	0.318	0.2625	0.111
1.1.1.205	0.37265	0.99875	0.6857	0.6261
1.1.1.22	0.8008	1.3805	1.09065	0.5797
1.1.1.23	-0.13195	-0.15375	-0.14285	-0.0218
1.1.1.25	0.301	0.7290000000000001	0.515	0.428
1.1.1.261	1.15935	1.41125	1.2853	0.2519
1.1.1.262	1.077	1.2309999999999999	1.1540000000000001	0.154
1.1.1.267	-0.647	0.0835	-0.28175	0.7305
1.1.1.27	0.7066	1.176	0.9413	0.4694
1.1.1.290	-0.7358	-0.0245	-0.38015	0.7113
1.1.1.3	-0.0158	0.20600000000000002	0.0951	0.2218
1.1.1.304	0.96895	0.84425	0.9066	-0.1247
1.1.1.31	0.14	0.17600000000000002	0.158	0.036000000000000004
1.1.1.34	0.2746	0.8045	0.53955	0.5299
1.1.1.36	0.3112	0.8240000000000001	0.5676	0.5128
1.1.1.37	0.617	0.7155	0.66625	0.0985
1.1.1.38	0.6304	0.586	0.6082	-0.0444
1.1.1.40	0.6288	0.948	0.7884	0.3192
1.1.1.405	0.8036	1.0	0.9018	0.1964
1.1.1.42	0.3518	0.9065	0.62915	0.5547
1.1.1.44	1.1726	1.2105	1.19155	0.0379
1.1.1.49	1.7714	2.075	1.9232	0.3036
1.1.1.58	0.64	0.5	0.57	-0.14
1.1.1.60	0.2828	0.4665	0.37465	0.1837
1.1.1.85	-0.4838	0.149	-0.1674	0.6328
1.1.1.86	0.55445	0.87175	0.7131	0.3173
1.1.1.94	0.3389	0.2615	0.3002	-0.0774
1.1.1.95	0.43705	0.67175	0.5544	0.2347
