feature-id	COVID_minus_CAP	COVID_minus_HC	Mean_COVID_change	CAP_minus_HC	text_description	level_1	level_2	level_3	level_4	p_value	covid_hc_sig	covid_pn_sig	custom_level
0					root					1.0	0	0	
1					Oxidoreductases	Oxidoreductases				1.0	0	0	Oxidoreductases
1.10					Acting on diphenols and related substances as donors	Oxidoreductases	Acting on diphenols and related substances as donors			1.0	0	0	Oxidoreductases
1.10.1					With NAD+ or NADP+ as acceptor	Oxidoreductases	Acting on diphenols and related substances as donors	With NAD+ or NADP+ as acceptor		1.0	0	0	Oxidoreductases
1.10.1.1					trans-acenaphthene-1,2-diol dehydrogenase	Oxidoreductases	Acting on diphenols and related substances as donors	With NAD+ or NADP+ as acceptor	trans-acenaphthene-1,2-diol dehydrogenase	1.0	0	0	Oxidoreductases
1.10.2					With a cytochrome as acceptor	Oxidoreductases	Acting on diphenols and related substances as donors	With a cytochrome as acceptor		1.0	0	0	Oxidoreductases
1.10.2.1					L-ascorbate---cytochrome-b5 reductase	Oxidoreductases	Acting on diphenols and related substances as donors	With a cytochrome as acceptor	L-ascorbate---cytochrome-b5 reductase	1.0	0	0	Oxidoreductases
1.10.2.2	0.16	0.215	0.1875	0.055	1.10.2.2	Oxidoreductases	Acting on diphenols and related substances as donors	With a cytochrome as acceptor	1.10.2.2	0.41910488867010587	0	0	Oxidoreductases
1.10.3					With oxygen as acceptor	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor		1.0	0	0	Oxidoreductases
1.10.3.10					1.10.3.10	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.10	1.0	0	0	Oxidoreductases
1.10.3.1					catechol oxidase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	catechol oxidase	1.0	0	0	Oxidoreductases
1.10.3.11					ubiquinol oxidase (non-electrogenic)	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	ubiquinol oxidase (non-electrogenic)	1.0	0	0	Oxidoreductases
1.10.3.12					1.10.3.12	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.12	1.0	0	0	Oxidoreductases
1.10.3.13					1.10.3.13	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.13	1.0	0	0	Oxidoreductases
1.10.3.14					1.10.3.14	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.14	1.0	0	0	Oxidoreductases
1.10.3.15					grixazone synthase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	grixazone synthase	1.0	0	0	Oxidoreductases
1.10.3.16					dihydrophenazinedicarboxylate synthase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	dihydrophenazinedicarboxylate synthase	1.0	0	0	Oxidoreductases
1.10.3.2					laccase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	laccase	1.0	0	0	Oxidoreductases
1.10.3.3					L-ascorbate oxidase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	L-ascorbate oxidase	1.0	0	0	Oxidoreductases
1.10.3.4					o-aminophenol oxidase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	o-aminophenol oxidase	1.0	0	0	Oxidoreductases
1.10.3.5					3-hydroxyanthranilate oxidase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	3-hydroxyanthranilate oxidase	1.0	0	0	Oxidoreductases
1.10.3.6					rifamycin-B oxidase	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	rifamycin-B oxidase	1.0	0	0	Oxidoreductases
1.10.3.7					1.10.3.7	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.7	1.0	0	0	Oxidoreductases
1.10.3.8					1.10.3.8	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	1.10.3.8	1.0	0	0	Oxidoreductases
1.10.3.9					photosystem II	Oxidoreductases	Acting on diphenols and related substances as donors	With oxygen as acceptor	photosystem II	1.0	0	0	Oxidoreductases
1.10.5					With a quinone or related compound as acceptor	Oxidoreductases	Acting on diphenols and related substances as donors	With a quinone or related compound as acceptor		1.0	0	0	Oxidoreductases
1.10.5.1					ribosyldihydronicotinamide dehydrogenase (quinone)	Oxidoreductases	Acting on diphenols and related substances as donors	With a quinone or related compound as acceptor	ribosyldihydronicotinamide dehydrogenase (quinone)	1.0	0	0	Oxidoreductases
1.10.9					1.10.9	Oxidoreductases	Acting on diphenols and related substances as donors	1.10.9		1.0	0	0	Oxidoreductases
